id,email,directorate,created_at,updated_at,first_login_at
2,user2@email.com,HUMAN CAPITAL,2019-10-16T03:01:57.740,2021-05-19T07:38:51.331,2021-10-07
3,user3@email.com,HUMAN CAPITAL,2019-10-16T03:01:57.797,2021-05-03T13:14:37.256,2021-07-14
4,user4@email.com,F&B,2019-10-16T03:01:57.849,2021-05-03T13:14:37.441,2021-10-14
5,user5@email.com,HUMAN CAPITAL,2019-10-16T03:01:58.013,2021-05-03T13:14:38.660,2021-10-05
6,user6@email.com,HUMAN CAPITAL,2019-10-16T03:01:58.027,2021-05-03T13:14:34.536,2021-11-16
7,user7@email.com,IT,2019-10-16T03:01:58.488,2021-05-03T13:14:40.890,2021-07-14
8,user8@email.com,MARKETING,2019-10-16T03:01:58.792,2021-05-03T13:14:39.495,2021-11-12
9,user9@email.com,BOM,2019-10-16T03:02:04.944,2021-05-03T13:14:38.882,2021-10-05
10,user10@email.com,PRODUCT,2019-10-23T07:55:22.196,2021-05-03T13:14:34.733,2021-11-12
11,user11@email.com,BOM,2019-10-23T07:55:22.209,2021-05-03T13:14:39.822,2021-10-08
12,user12@email.com,F&B,2019-10-23T07:55:22.252,2021-05-03T13:14:40.965,2021-07-13
13,user13@email.com,IT,2019-10-23T07:55:22.270,2021-05-03T13:14:39.192,2021-07-16
14,user14@email.com,ECOMMERCE,2019-10-23T07:55:22.272,2021-05-03T13:14:40.697,2021-10-07
15,user15@email.com,HUMAN CAPITAL,2019-10-23T07:55:22.274,2021-05-03T13:14:40.665,2021-10-05
16,user16@email.com,F&B,2019-10-23T07:55:22.276,2021-05-03T13:14:33.966,2021-10-04
17,user17@email.com,FINANCE,2019-10-23T07:55:22.524,2021-05-03T13:14:40.809,2021-11-23
18,user18@email.com,OPERATIONAL,2019-10-23T07:55:22.527,2021-05-03T13:14:39.088,2021-07-16
19,user19@email.com,HUMAN CAPITAL,2019-12-05T17:34:18.267,2021-05-03T13:14:34.781,2021-07-16
20,user20@email.com,HUMAN CAPITAL,2019-12-05T17:40:31.166,2021-05-03T13:14:34.813,2021-07-16
